algorithm_name,env_n,size,best_solution,H,states,time
HC,24,4,"[2, 0, 3, 1]",0,4,0.000049
SA,24,4,"[1, 3, 0, 2]",0,31,0.000059
GA,24,4,"[2, 0, 3, 1]",0,394,0.001273
random,25,4,"[1, 3, 0, 2]",0,425,0.001021
HC,25,4,"[2, 0, 3, 1]",0,5,0.000068
SA,25,4,"[2, 0, 3, 1]",0,21,0.000042
GA,25,4,"[1, 3, 0, 2]",0,394,0.001251
random,26,4,"[1, 3, 0, 2]",0,47,0.000142
HC,26,4,"[2, 0, 3, 1]",0,4,0.000052
SA,26,4,"[2, 0, 3, 1]",0,117,0.000229
GA,26,4,"[1, 3, 0, 2]",0,100,0.000000
random,27,4,"[1, 3, 0, 2]",0,16,0.000041
HC,27,4,"[2, 0, 3, 1]",0,4,0.000050
SA,27,4,"[1, 3, 0, 2]",0,56,0.000105
GA,27,4,"[1, 3, 0, 2]",0,100,0.000000
random,28,4,"[1, 3, 0, 2]",0,43,0.000105
HC,28,4,"[2, 0, 3, 1]",0,5,0.000066
SA,28,4,"[1, 3, 0, 2]",0,150,0.000286
GA,28,4,"[1, 3, 0, 2]",0,100,0.000000
random,29,4,"[2, 0, 3, 1]",0,11,0.000030
HC,29,4,"[2, 0, 3, 1]",0,5,0.000068
SA,29,4,"[1, 3, 0, 2]",0,81,0.000158
GA,29,4,"[2, 0, 3, 1]",0,100,0.000000
random,30,4,"[2, 0, 3, 1]",0,54,0.000131
HC,30,4,"[2, 0, 3, 1]",0,4,0.000051
SA,30,4,"[1, 3, 0, 2]",0,61,0.000116
GA,30,4,"[2, 0, 3, 1]",0,100,0.000000
random,1,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,18366,0.108245
HC,1,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,55,0.009970
SA,1,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,1002,0.004080
GA,1,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,1080,0.006841
random,2,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,12849,0.074800
