algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
dls100,14,8127,97,880,0.02986332400178071,True
ucs,14,1041,35,332,0.004158900999755133,True
astar,14,89,35,332,0.0004473119988688268,True
random,15,3074,53,170,0.010474588998476975,True
bfs,15,3041,47,110,0.008480252996378113,True
dfs,15,9118,47,110,0.02747851500316756,True
dls50,15,28405,49,130,0.08869374500500271,True
dls75,15,30235,75,372,0.09351835899724392,True
dls100,15,49393,99,450,0.2611266159947263,True
ucs,15,3076,47,110,0.013475404004566371,True
astar,15,188,47,110,0.0008450340028502978,True
random,16,381,21,111,0.0013827869988745078,True
bfs,16,541,17,71,0.001490761002060026,True
dfs,16,7474,1621,4627,0.042957653997291345,True
dls50,16,5970,49,391,0.018652329003089108,True
dls75,16,18276,75,633,0.05958515400561737,True
dls100,16,32819,99,855,0.10718481399817392,True
ucs,16,506,17,71,0.0020431230004760437,True
astar,16,63,17,71,0.0003520219979691319,True
random,17,4495,68,302,0.01588802800688427,True
bfs,17,5163,62,242,0.0148197579983389,True
dfs,17,1439,1340,3608,0.005808065994642675,True
dls50,17,35291,,,0.17736237999633886,False
dls75,17,80067,74,362,0.3392886939982418,True
dls100,17,109021,100,604,0.3752215759959654,True
ucs,17,5222,62,242,0.022903828998096287,True
astar,17,729,62,242,0.0035383649956202134,True
random,18,8137,122,410,0.031098496001504827,True
bfs,18,6674,96,150,0.0483947469983832,True
dfs,18,6278,2904,8628,0.02340494200325338,True
dls50,18,22114,,,0.15317644300375832,False
dls75,18,67599,,,0.2828590190038085,False
dls100,18,117730,100,172,0.4030086140046478,True
ucs,18,6695,96,150,0.028458479995606467,True
astar,18,400,96,150,0.0017988309991778806,True
random,19,7710,93,453,0.026565630003460683,True
bfs,19,8709,89,413,0.0245365450027748,True
dfs,19,5872,3163,8383,0.023984435996680986,True
dls50,19,39393,,,0.12390495300496696,False
dls75,19,117382,,,0.38367629000276793,False
dls100,19,39344,99,513,0.12849894799728645,True
ucs,19,8715,89,413,0.036971392000850756,True
astar,19,1711,89,413,0.007693840001593344,True
random,20,1395,30,246,0.005416595995484386,True
bfs,20,1679,30,246,0.007060977004584856,True
dfs,20,5072,4292,13112,0.035042547999182716,True
dls50,20,191,50,320,0.0006717860014759935,True
dls75,20,2235,74,380,0.006574176994035952,True
dls100,20,5661,100,496,0.017293176002567634,True
ucs,20,1583,30,246,0.013001505998545326,True
astar,20,157,30,246,0.0007216579979285598,True
random,21,7252,116,557,0.024409468998783268,True
bfs,21,7637,108,495,0.02126222900551511,True
dfs,21,6784,1822,4909,0.023264526003913488,True
dls50,21,18990,,,0.05795263100299053,False
dls75,21,61679,,,0.1965652740036603,False
dls100,21,132667,,,0.45299843700195197,False
ucs,21,7568,108,495,0.03200322000338929,True
astar,21,2599,108,495,0.011865508997288998,True
random,22,6985,95,617,0.04229760599992005,True
bfs,22,6610,79,601,0.01824925499386154,True
dfs,22,5000,3823,10663,0.01913821900234325,True
dls50,22,34107,,,0.10682773099688347,False
dls75,22,93885,,,0.305053013995348,False
dls100,22,3228,99,801,0.009761220004293136,True
ucs,22,6628,79,601,0.028218047998961993,True
astar,22,945,79,601,0.00424430600105552,True
random,23,2726,63,459,0.009433138999156654,True
bfs,23,2210,47,443,0.0059524769967538305,True
dfs,23,6549,2571,7179,0.02288365799904568,True
dls50,23,1897,49,445,0.005508946000190917,True
dls75,23,1031,75,651,0.002880303996789735,True
dls100,23,3869,99,819,0.011650702996121254,True
ucs,23,2146,47,443,0.008673475000250619,True
astar,23,110,47,443,0.0005527929970412515,True
random,24,7382,152,917,0.038234132996876724,True
bfs,24,8097,132,789,0.022704629998770542,True
dfs,24,8628,548,1763,0.030372560999239795,True
dls50,24,17679,,,0.05550678600411629,False
dls75,24,52168,,,0.16469118100212654,False
dls100,24,112960,,,0.37209230000007665,False
ucs,24,8118,132,771,0.034138759001507424,True
astar,24,3879,132,771,0.01789300599921262,True
random,25,4634,81,594,0.015656195995688904,True
bfs,25,4131,73,586,0.011317167001834605,True
dfs,25,2610,2451,6582,0.013582519000920001,True
dls50,25,18727,,,0.05723470199882286,False
dls75,25,5527,75,588,0.01626987000054214,True
dls100,25,5478,99,810,0.016089741999167018,True
ucs,25,4140,73,586,0.016909224999835715,True
astar,25,807,73,586,0.0036378300064825453,True
random,26,1104,52,187,0.005471313001180533,True
bfs,26,2346,40,67,0.010957024001982063,True
dfs,26,3946,3674,10865,0.02909638999699382,True
dls50,26,16121,50,149,0.05009996200533351,True
dls75,26,11602,74,371,0.03598114500346128,True
dls100,26,35844,100,559,0.11630194299505092,True
ucs,26,2344,40,67,0.00988459300424438,True
astar,26,120,40,67,0.0005536239987122826,True
random,27,6191,109,469,0.03380401599861216,True
bfs,27,7541,109,469,0.020727449998958036,True
dfs,27,6253,2649,7185,0.023862139001721516,True
dls50,27,25310,,,0.07885178200376686,False
dls75,27,68667,,,0.2186674290060182,False
dls100,27,140603,,,0.4571324759963318,False
ucs,27,7576,109,469,0.037245310995785985,True
astar,27,2428,109,469,0.011114944005385041,True
random,28,883,29,200,0.0030384019992197864,True
bfs,28,1305,27,198,0.003584436999517493,True
dfs,28,303,289,784,0.00106683299964061,True
dls50,28,16557,49,418,0.04991558600158896,True
dls75,28,37174,75,678,0.11908642500202404,True
dls100,28,72565,99,918,0.23079451100056758,True
ucs,28,1356,27,198,0.005548458997509442,True
astar,28,158,27,198,0.000735444002202712,True
random,29,7725,109,550,0.038742220000131056,True
bfs,29,7914,99,540,0.022091801998612937,True
dfs,29,7949,1203,3696,0.025489374005701393,True
dls50,29,33069,,,0.10278286199900322,False
dls75,29,90072,,,0.32161735000408953,False
dls100,29,175124,99,540,0.5976737210003193,True
ucs,29,7914,99,540,0.0332999070014921,True
astar,29,2105,99,540,0.00947947999520693,True
